,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_positive_score,tweet_neutral_score,tweet_negative_score
0,Fox News,BREAKING: Federal appeals court rules against Trump administration on DACA https://t.co/KHnrNvEKAM,Thu Nov 08 19:18:44 +0000 2018,0.0,0.0,1.0,0.0
1,Fox News,"Breaking News: Grand jury indicts captain of Missouri duck boat that sank in severe weather, killing 17 people https://t.co/ffOOgzRwdo",Thu Nov 08 17:02:25 +0000 2018,-0.6124,0.115,0.615,0.269
2,Fox News,"JUST IN: Police identify gunman who opened fire inside California bar, killing 12 https://t.co/PvITYr54AX",Thu Nov 08 15:14:45 +0000 2018,-0.7783,0.0,0.638,0.362
3,Fox News,JUST IN: Supreme Court Justice Ruth Bader Ginsburg fractures 3 ribs in fall https://t.co/9UM9hKTz4m,Thu Nov 08 14:22:51 +0000 2018,0.7906,0.389,0.611,0.0
4,Fox News,"Sgt. Ron Helus was fatally shot when he responded to the mass shooting on Nov. 7 at a bar in Thousand Oaks, Califor… https://t.co/vOH3OWPN5S",Thu Nov 08 13:43:25 +0000 2018,-0.6369,0.0,0.833,0.167
5,Fox News,Tom Homan: “It’s a tragedy each and every time.” https://t.co/dMV68Hfdz0 https://t.co/hrq51VJg7x,Thu Nov 08 13:35:03 +0000 2018,-0.6597,0.0,0.672,0.328
6,Fox News,"People walk away from the scene in Thousand Oaks, Calif. where a gunman opened fire Wednesday.… https://t.co/O3Oo2iLL8O",Thu Nov 08 13:22:27 +0000 2018,-0.34,0.0,0.862,0.138
7,Fox News,Teylor Whittler describes what she witnessed at California bar shooting https://t.co/dMV68Hfdz0 https://t.co/YznTZgQoYY,Thu Nov 08 12:56:20 +0000 2018,0.0,0.0,1.0,0.0
8,Fox News,"An FBI agent talks to a potential witness as they stand near the scene in Thousand Oaks, Calif. where a gunman open… https://t.co/7QOmXNTYM0",Thu Nov 08 12:37:05 +0000 2018,0.0,0.0,1.0,0.0
9,Fox News,Ventura County Fire Department Captain Stan Ziegler: “Hundreds of first responders responded initially to the scene… https://t.co/o4gArhmy4e,Thu Nov 08 12:25:14 +0000 2018,-0.34,0.0,0.87,0.13
10,Fox News,"People comfort each other as they stand near the scene in Thousand Oaks, Calif. where a gunman opened fire during a… https://t.co/wPI4XSpirC",Thu Nov 08 12:06:14 +0000 2018,0.0258,0.105,0.795,0.1
11,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/dMV68Hfdz0 https://t.co/WvjarPpwPV",Thu Nov 08 11:54:22 +0000 2018,-0.6486,0.0,0.736,0.264
12,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/GqI77wMuYZ",Thu Nov 08 11:38:17 +0000 2018,-0.6486,0.0,0.719,0.281
13,Fox News,"Sheriff's deputies speak to potential witnesses as they stand near the scene in Thousand Oaks, Calif., where a gunm… https://t.co/jPE8k9oQHr",Thu Nov 08 11:32:26 +0000 2018,0.0,0.0,1.0,0.0
14,Fox News,13 dead in country music bar including gunman https://t.co/PvITYr54AX https://t.co/UURBIatqte,Thu Nov 08 11:26:46 +0000 2018,-0.6486,0.0,0.677,0.323
15,Fox News,"12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/PvITYr54AX https://t.co/o8Nf8WuJcZ",Thu Nov 08 11:18:08 +0000 2018,-0.6486,0.0,0.719,0.281
16,Fox News,"Breaking News: At least 12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/u6sVxdzHq5",Thu Nov 08 11:13:32 +0000 2018,-0.6486,0.0,0.765,0.235
17,Fox News,.@CarleyShimkus is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/cQ9uxkjUIK,Thu Nov 08 11:12:14 +0000 2018,0.0,0.0,1.0,0.0
18,Fox News,"Authorities deliver an update on the shooting in Thousand Oaks, California. (Courtesy: KABC) https://t.co/BtGxxIfNx5",Thu Nov 08 10:53:33 +0000 2018,0.0,0.0,1.0,0.0
19,Fox News,Pastor Dimas Salaberrios on California shooting: “My immediate thoughts go out to the families. Because what’s happ… https://t.co/iowf5VOL2l,Thu Nov 08 10:36:12 +0000 2018,0.0,0.0,1.0,0.0
20,CNN,Roger Stone isn't ruling out cooperating with special counsel Robert Mueller. https://t.co/1nGLt99ZOz https://t.co/iHEpaOkE22,Sun Jan 27 21:31:04 +0000 2019,0.4019,0.184,0.816,0.0
21,CNN,Cuba has opened its first new church since the revolution 60 years ago. https://t.co/yLE2v51snQ https://t.co/dDwAG8GdL4,Sun Jan 27 21:00:13 +0000 2019,0.0,0.0,1.0,0.0
22,CNN,"Two days after a dam ruptured at a mine in Brazil, killing dozens of people, residents are being evacuated near a s… https://t.co/tJd6Qd8Wvw",Sun Jan 27 20:33:09 +0000 2019,-0.6597,0.0,0.812,0.188
23,CNN,The 2020 Democratic field is the most diverse ever. | Analysis by CNN's Harry Enten https://t.co/2sGCTPcFpc https://t.co/AVIPzf5CQX,Sun Jan 27 20:02:07 +0000 2019,0.0,0.0,1.0,0.0
24,CNN,"Venezuelan President Nicolas Maduro says a US-led ""coup"" is behind the political upheaval in his country.… https://t.co/uCVIh5rAoL",Sun Jan 27 19:30:07 +0000 2019,0.0,0.0,1.0,0.0
25,CNN,“We believe in border security and we have offered how we think it can be done … I don’t trust him very much becaus… https://t.co/EVRe9jUXLe,Sun Jan 27 19:18:14 +0000 2019,0.6908,0.213,0.787,0.0
26,CNN,"Jerome Corsi, a longtime friend and associate of Roger Stone, says he is willing to ""affirm"" that the information a… https://t.co/gNfEdewVAn",Sun Jan 27 19:02:04 +0000 2019,0.4939,0.144,0.856,0.0
27,CNN,"Former Democratic Colorado Gov. John Hickenlooper: ""I would probably take the bet"" I will run for president in 2020… https://t.co/drAnIiDz9D",Sun Jan 27 18:30:09 +0000 2019,0.0,0.0,1.0,0.0
28,CNN,Novak Djokovic crushes Rafael Nadal for a record seventh Australian Open title and 15th major.… https://t.co/y0Qa32DPNb,Sun Jan 27 18:03:05 +0000 2019,-0.4404,0.0,0.828,0.172
29,CNN,2020 Democratic presidential candidate Julián Castro says Starbucks CEO Howard Schultz running for president as an… https://t.co/dWH43DOg5r,Sun Jan 27 17:33:04 +0000 2019,0.0,0.0,1.0,0.0
30,CNN,Triplets separated at birth. Reunited as adults. A miracle of random chance? Or - was something more deliberate at… https://t.co/eFVofRFy9L,Sun Jan 27 16:59:15 +0000 2019,0.7003,0.266,0.734,0.0
31,CNN,"President Trump said more than 6,000(!) untrue things in 2018 | Analysis by @CillizzaCNN https://t.co/DVNPmGnzPD https://t.co/K40gk7Buai",Sun Jan 27 16:00:12 +0000 2019,0.0,0.0,1.0,0.0
32,CNN,"Amid laughter, Dell founder Michael Dell explains why he wouldn’t support Rep. Ocasio-Cortez’s call for a higher ma… https://t.co/yGe8uJDmOb",Sun Jan 27 15:31:01 +0000 2019,0.7096,0.269,0.731,0.0
33,CNN,Acting White House chief of staff Mick Mulvaney says that President Trump will use his executive authority to get f… https://t.co/Jh6Ie5odjJ,Sun Jan 27 15:30:08 +0000 2019,0.0772,0.061,0.939,0.0
34,CNN,"CNN’s @FareedZakaria: ""With no one actively shoring up the international system, the great question remains: In a w… https://t.co/8tWGyVpgFT",Sun Jan 27 15:23:11 +0000 2019,0.6369,0.271,0.636,0.093
35,CNN,"“I don’t think it’s a concession whatsoever,” former GOP Sen. @RickSantorum says about President Trump accepting no… https://t.co/ggjod23c1e",Sun Jan 27 15:11:02 +0000 2019,0.3818,0.14,0.86,0.0
36,CNN,"Next year, the US will export more energy than it imports. That hasn't happened since 1953. https://t.co/IkGbjnYGYp",Sun Jan 27 15:01:02 +0000 2019,0.3384,0.13,0.87,0.0
37,CNN,"“I believe that if we were to build that wall, that it would change the notion of America from the Statue of Libert… https://t.co/FDOSOAHP7B",Sun Jan 27 14:59:22 +0000 2019,0.0,0.0,1.0,0.0
38,CNN,"Jerome Corsi: “I believed, figured out that Assange had Podesta’s emails ... and it turned out that I was right.""… https://t.co/w03t3YmDOG",Sun Jan 27 14:47:24 +0000 2019,0.0,0.0,1.0,0.0
39,CNN,This race isn't for the faint of heart https://t.co/ihomb5GIgg https://t.co/E31RCgjf10,Sun Jan 27 14:31:00 +0000 2019,0.0,0.0,1.0,0.0
40,BBC News (World),Venezuela crisis: White House 'will respond to threats against diplomats' https://t.co/s7uQ7YJ6gP,Sun Jan 27 20:28:58 +0000 2019,-0.7845,0.0,0.566,0.434
41,BBC News (World),Dad's comfort doll 'helping him fly for 43 years' https://t.co/3hhAOIdDhk,Sun Jan 27 19:41:27 +0000 2019,0.5719,0.37,0.63,0.0
42,BBC News (World),Louisiana shooting: Police arrest suspect of five killed https://t.co/UzBGYspk7o,Sun Jan 27 19:21:13 +0000 2019,-0.8442,0.0,0.397,0.603
43,BBC News (World),XXXTentacion's son Gekyume arrives seven months after rapper's death https://t.co/qhI6LzjEkU,Sun Jan 27 18:15:14 +0000 2019,-0.5994,0.0,0.698,0.302
44,BBC News (World),'Red scarves' march in Paris against yellow-vest violence https://t.co/r65Q8VHDnz,Sun Jan 27 18:15:09 +0000 2019,-0.6249,0.0,0.661,0.339
45,BBC News (World),Bashir says Sudan protests attempt to copy Arab Spring https://t.co/XJDl9b0RNJ,Sun Jan 27 16:30:19 +0000 2019,-0.2263,0.0,0.826,0.174
46,BBC News (World),Peru landslide kills at least 15 at hotel wedding party https://t.co/u19bpxZv6C,Sun Jan 27 16:05:45 +0000 2019,-0.2023,0.178,0.592,0.23
47,BBC News (World),Taliban talks: Will negotiations lead to peace in Afghanistan? https://t.co/hCFGKV3xjF,Sun Jan 27 15:45:00 +0000 2019,0.5423,0.28,0.72,0.0
48,BBC News (World),Brumadinho dam collapse: Thousands to evacuate from second Brazil dam https://t.co/LMujvjl91O,Sun Jan 27 15:23:33 +0000 2019,-0.4939,0.0,0.758,0.242
49,BBC News (World),In pictures: Russia marks end of Leningrad WW2 siege https://t.co/xX1yoUjDdN,Sun Jan 27 15:23:13 +0000 2019,0.0,0.0,1.0,0.0
50,BBC News (World),Zimbabwe buries Afro-jazz legend Oliver Mtukudzi https://t.co/pLzaDb501H,Sun Jan 27 14:31:52 +0000 2019,0.0,0.0,1.0,0.0
51,BBC News (World),Thai girl band BNK48 sorry for Nazi T-shirt controversy https://t.co/WxiS4EAyBg,Sun Jan 27 14:26:57 +0000 2019,-0.0772,0.0,0.874,0.126
52,BBC News (World),Why Americans love the Great British Bake Off https://t.co/MSWGfa4YSI #GBBO,Sun Jan 27 12:50:54 +0000 2019,0.8519,0.509,0.491,0.0
53,BBC News (World),"RT @BBCSport: Novak Djokovic needed just two hours and four minutes to beat Rafa Nadal and win a seventh #AusOpen men's singles title.

Rep…",Sun Jan 27 11:34:14 +0000 2019,0.5859,0.147,0.853,0.0
54,BBC News (World),"RT @BBCSport: CHAMPION!

Novak Djokovic wins a record seventh Australian Open men's singles title with a straight sets victory over Rafael…",Sun Jan 27 10:51:13 +0000 2019,0.8891,0.397,0.603,0.0
55,BBC News (World),RT @BBCSport: Malaysia has been stripped of hosting the 2019 World Para Swimming Championships because it has failed to guarantee Israeli s…,Sun Jan 27 10:29:31 +0000 2019,0.2263,0.189,0.691,0.12
56,BBC News (World),"RT @BBCSport: Second set: Novak Djokovic ✅

The world number one takes a two-set lead against Rafael Nadal in the #AusOpen men's final. 

F…",Sun Jan 27 10:09:23 +0000 2019,0.0772,0.058,0.942,0.0
57,BBC News (World),"RT @bbctennis: Just when you thought Nadal had weathered the storm...

Djokovic breaks!

🇷🇸 Djokovic 6-3 3-2 🇪🇸 Nadal 

Follow live on @BBC…",Sun Jan 27 09:47:07 +0000 2019,0.0,0.0,1.0,0.0
58,BBC News (World),Venezuela crisis: Diplomat to US defects from Maduro https://t.co/VuZjBi2ddR,Sun Jan 27 09:25:31 +0000 2019,-0.7783,0.0,0.507,0.493
59,BBC News (World),"RT @BBCSport: Dominant! 

Novak Djokovic wins the first set 6-3 against Rafael Nadal in the #AusOpen men's singles final.

Live 👉 https://t…",Sun Jan 27 09:23:17 +0000 2019,0.6114,0.166,0.834,0.0
60,CBS News,"Kamala Harris: ""Folks, on the subject of transnational gangs, let's be perfectly clear: The president's medieval va… https://t.co/p8pOuAu3II",Sun Jan 27 21:54:22 +0000 2019,0.7783,0.298,0.702,0.0
61,CBS News,WATCH LIVE: Sen. Kamala Harris officially kicks off her 2020 presidential bid with a rally in Oakland… https://t.co/51txb8qIvM,Sun Jan 27 21:46:48 +0000 2019,0.0,0.0,1.0,0.0
62,CBS News,"RT @CBSThisMorning: With the #SuperBowl only a week away, we traveled to Atlanta to speak with some of the most influential artists and tal…",Sun Jan 27 21:45:24 +0000 2019,0.4927,0.127,0.873,0.0
63,CBS News,"Prince Philip writes letter to car-crash victim, saying he is ""very sorry"" https://t.co/ol3PB1i4VT https://t.co/4UGNws9KDu",Sun Jan 27 21:39:54 +0000 2019,-0.4005,0.0,0.765,0.235
64,CBS News,Mayors of cities hit hard by shutdown say no winners emerged from standoff https://t.co/hoTB5ySOom https://t.co/nHjJ1QHX4d,Sun Jan 27 21:25:19 +0000 2019,0.128,0.166,0.642,0.193
65,CBS News,"RT @CBSSunday: FROM THE ARCHIVES 1999: J.K. Rowling on the origins of Harry Potter

J.K. Rowling talked with correspondent Mark Phillips ab…",Sun Jan 27 21:14:15 +0000 2019,0.0,0.0,1.0,0.0
66,CBS News,Acting White House Chief of Staff Mick Mulvaney won't say if President Trump will accept less than $5.7 billion for… https://t.co/ez7dqedJqs,Sun Jan 27 20:59:56 +0000 2019,0.3818,0.115,0.885,0.0
67,CBS News,Is Howard Schultz thinking of running for president? Scott Pelley talks to the billionaire former CEO of Starbucks.… https://t.co/MDn7bzW0vP,Sun Jan 27 20:39:53 +0000 2019,0.0,0.0,1.0,0.0
68,CBS News,How did a retired couple from Michigan make millions by figuring out how to win the lottery multiple times —legally… https://t.co/Qu9dO7z3Cm,Sun Jan 27 20:19:55 +0000 2019,0.5859,0.167,0.833,0.0
69,CBS News,"Graduate program director at Duke University steps down after saying international students should ""commit to using… https://t.co/bIrAWf27jL",Sun Jan 27 19:59:36 +0000 2019,0.296,0.121,0.879,0.0
70,CBS News,"Tonight, @60Minutes will show you the largest fleet of satellites in human history. With technology packed into a v… https://t.co/T6XVyP9LBD",Sun Jan 27 19:39:43 +0000 2019,0.0,0.0,1.0,0.0
71,CBS News,"Sen. Susan Collins says the longest government shutdown in U.S. history accomplished ""absolutely nothing""… https://t.co/WoNYE2erDT",Sun Jan 27 19:19:39 +0000 2019,0.4404,0.172,0.828,0.0
72,CBS News,"Take a look back at 40 years of @CBSSunday, the #1 Sunday morning news program https://t.co/kccqQ3PZlo https://t.co/aP46zOhQVy",Sun Jan 27 18:59:39 +0000 2019,0.0,0.0,1.0,0.0
73,CBS News,"Dakota Theriot, who allegedly killed his parents and three other people in a Louisiana shooting spree, pointed a gu… https://t.co/Xt9tmLcex4",Sun Jan 27 18:39:52 +0000 2019,-0.6705,0.0,0.791,0.209
74,CBS News,"Nearly 20 years ago, a death row inmate wrote to @48Hours that he was framed for the murder of four people. Was evi… https://t.co/5WLd1bOHH0",Sun Jan 27 18:19:52 +0000 2019,-0.8625,0.0,0.709,0.291
75,CBS News,Acting White House Chief of Staff Mick Mulvaney says President Trump is prepared to shut down the government again… https://t.co/lsIBP5O1Wo,Sun Jan 27 17:59:33 +0000 2019,0.2263,0.091,0.909,0.0
76,CBS News,"RT @CBSSunday: A Look Back: A history of ""Sunday Morning""

From the very beginning, #SundayMorning has stayed true to Charles Kuralt's visi…",Sun Jan 27 17:39:01 +0000 2019,0.4215,0.128,0.872,0.0
77,CBS News,"An end in sight? U.S. and Taliban officials report ""progress"" in talks about resolving 17-year conflict in Afghanis… https://t.co/GspKYQNgD7",Sun Jan 27 17:19:41 +0000 2019,0.0772,0.119,0.776,0.105
78,CBS News,RT @CBSSunday: Whatever happened to Chuck Cunningham from Happy Days? Join @MoRocca as he investigates the deaths and disappearances of som…,Sun Jan 27 16:50:51 +0000 2019,0.7096,0.237,0.763,0.0
79,CBS News,"RT @FaceTheNation: When asked about Roger Stone, .@Sen_JoeManchin says he is “very much concerned” about Trump campaign associates lying to…",Sun Jan 27 16:35:23 +0000 2019,-0.5267,0.0,0.848,0.152
80,The New York Times,Mayor Bill de Blasio dismissed a poll in which New York voters ranked him last in a list of New York Democrats who… https://t.co/FpYgDwlMHe,Sun Jan 27 21:45:06 +0000 2019,0.0,0.0,1.0,0.0
81,The New York Times,"Elite law firm Paul, Weiss puts effort into making diverse hires. But in interviews, women and people of color deta… https://t.co/WvttP5gMn5",Sun Jan 27 21:30:12 +0000 2019,0.0,0.0,1.0,0.0
82,The New York Times,"Chicken wings, dips, chili and more: We've got all the recipes you'll need for a winning Super Bowl spread. https://t.co/ZFUqXea5QY",Sun Jan 27 21:15:08 +0000 2019,0.8074,0.3,0.7,0.0
83,The New York Times,"After Kurdish and Yazidi fighters recaptured Sinjar and nearby villages from ISIS, life has been slowly inching bac… https://t.co/opDi4VHljL",Sun Jan 27 21:00:15 +0000 2019,-0.0516,0.0,0.938,0.062
84,The New York Times,"In Opinion

Sahil Chinoy and Jessia Ma write, ""Unofficially, considering education, career, family background and p… https://t.co/tyx2navrMH",Sun Jan 27 20:45:06 +0000 2019,0.0,0.0,1.0,0.0
85,The New York Times,"RT @caitlinroper: In your newspaper this Sunday, 1/27, the January issue of @NYTimes for Kids! https://t.co/74mhSZhmJX",Sun Jan 27 20:30:06 +0000 2019,0.0,0.0,1.0,0.0
86,The New York Times,RT @nytimesworld: Scientists warned about the effects of a melting ice sheet. Where is it? Try this week’s news quiz: https://t.co/OuCMYMee…,Sun Jan 27 20:15:04 +0000 2019,-0.2732,0.0,0.9,0.1
87,The New York Times,"For decades, there was little progress against sickle cell, a disease that strikes mostly minorities. But experimen… https://t.co/1LqLWUfv3F",Sun Jan 27 20:01:54 +0000 2019,0.0018,0.125,0.75,0.125
88,The New York Times,"-A hitchhiking robot was beheaded in Philadelphia. 
-A security robot was punched to the ground in Silicon Valley.… https://t.co/HqD5UqFi56",Sun Jan 27 19:45:06 +0000 2019,0.34,0.118,0.882,0.0
89,The New York Times,RT @NYTmag: Mitch McConnell was the Trump administration’s indispensable partner in seating two Supreme Court justices and 83 lower-court j…,Sun Jan 27 19:29:54 +0000 2019,0.5574,0.159,0.841,0.0
90,The New York Times,"In Opinion

@NickKristof writes, ""Remember this name: Loujain al-Hathloul. She is 29 years old and a courageous adv… https://t.co/x8M4G7vrHt",Sun Jan 27 19:15:02 +0000 2019,0.5267,0.167,0.833,0.0
91,The New York Times,"Visit the latest examples of avant-garde architecture in Doha, Qatar, No. 37 on our list of 52 places to go in 2019 https://t.co/iSjBhQ6fcY",Sun Jan 27 19:00:09 +0000 2019,-0.296,0.0,0.909,0.091
92,The New York Times,"An ex-cop who wrote the best-seller ""Blue Blood"" about life as a detective is back on the NYPD payroll — as a writer https://t.co/3UPhXtotAR",Sun Jan 27 18:45:03 +0000 2019,0.0,0.0,1.0,0.0
93,The New York Times,"In a new documentary, a former South African militia member claims his group used phony vaccinations to spread HIV… https://t.co/B0MIJhwaAZ",Sun Jan 27 18:30:04 +0000 2019,0.0,0.0,1.0,0.0
94,The New York Times,"Roger Stone says the text message exchanges presented in his indictment were misrepresented. ""They’re taking things… https://t.co/KcrDlXeT3Q",Sun Jan 27 18:15:04 +0000 2019,0.0,0.0,1.0,0.0
95,The New York Times,"Bruised by the shutdown fight, President Trump faces a cloudier path to re-election, and advisers fear a challenge… https://t.co/TUlXnWjL8I",Sun Jan 27 18:00:19 +0000 2019,-0.7003,0.0,0.721,0.279
96,The New York Times,"""I'm just a poor, helpless old man. I'm 66. I'm almost as old as Sting,"" said Steve Martin, playing Roger Stone on… https://t.co/XF7kN9ExhL",Sun Jan 27 17:51:21 +0000 2019,-0.6486,0.067,0.706,0.227
97,The New York Times,"Our colleagues at NYT Cooking can help you decide what to cook for just about any occasion, craving or ingredient.… https://t.co/Wj8YGqliSB",Sun Jan 27 17:15:00 +0000 2019,0.4019,0.119,0.881,0.0
98,The New York Times,"Yes, they're cute, but the CDC doesn't want you snuggling or kissing hedgehogs - ""this can spread salmonella germs… https://t.co/0eeZwXwPKz",Sun Jan 27 17:00:03 +0000 2019,0.8209,0.353,0.594,0.053
99,The New York Times,"Selling Nazi memorabilia is supposed to be illegal in Poland. So why was there a souvenir stand selling ""Heil Hitle… https://t.co/TKmUFIR9WD",Sun Jan 27 16:45:10 +0000 2019,-0.5574,0.0,0.841,0.159
100,Fox News,BREAKING: Federal appeals court rules against Trump administration on DACA https://t.co/KHnrNvEKAM,Thu Nov 08 19:18:44 +0000 2018,0.0,0.0,1.0,0.0
101,Fox News,"Breaking News: Grand jury indicts captain of Missouri duck boat that sank in severe weather, killing 17 people https://t.co/ffOOgzRwdo",Thu Nov 08 17:02:25 +0000 2018,-0.6124,0.115,0.615,0.269
102,Fox News,"JUST IN: Police identify gunman who opened fire inside California bar, killing 12 https://t.co/PvITYr54AX",Thu Nov 08 15:14:45 +0000 2018,-0.7783,0.0,0.638,0.362
103,Fox News,JUST IN: Supreme Court Justice Ruth Bader Ginsburg fractures 3 ribs in fall https://t.co/9UM9hKTz4m,Thu Nov 08 14:22:51 +0000 2018,0.7906,0.389,0.611,0.0
104,Fox News,"Sgt. Ron Helus was fatally shot when he responded to the mass shooting on Nov. 7 at a bar in Thousand Oaks, Califor… https://t.co/vOH3OWPN5S",Thu Nov 08 13:43:25 +0000 2018,-0.6369,0.0,0.833,0.167
105,Fox News,Tom Homan: “It’s a tragedy each and every time.” https://t.co/dMV68Hfdz0 https://t.co/hrq51VJg7x,Thu Nov 08 13:35:03 +0000 2018,-0.6597,0.0,0.672,0.328
106,Fox News,"People walk away from the scene in Thousand Oaks, Calif. where a gunman opened fire Wednesday.… https://t.co/O3Oo2iLL8O",Thu Nov 08 13:22:27 +0000 2018,-0.34,0.0,0.862,0.138
107,Fox News,Teylor Whittler describes what she witnessed at California bar shooting https://t.co/dMV68Hfdz0 https://t.co/YznTZgQoYY,Thu Nov 08 12:56:20 +0000 2018,0.0,0.0,1.0,0.0
108,Fox News,"An FBI agent talks to a potential witness as they stand near the scene in Thousand Oaks, Calif. where a gunman open… https://t.co/7QOmXNTYM0",Thu Nov 08 12:37:05 +0000 2018,0.0,0.0,1.0,0.0
109,Fox News,Ventura County Fire Department Captain Stan Ziegler: “Hundreds of first responders responded initially to the scene… https://t.co/o4gArhmy4e,Thu Nov 08 12:25:14 +0000 2018,-0.34,0.0,0.87,0.13
110,Fox News,"People comfort each other as they stand near the scene in Thousand Oaks, Calif. where a gunman opened fire during a… https://t.co/wPI4XSpirC",Thu Nov 08 12:06:14 +0000 2018,0.0258,0.105,0.795,0.1
111,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/dMV68Hfdz0 https://t.co/WvjarPpwPV",Thu Nov 08 11:54:22 +0000 2018,-0.6486,0.0,0.736,0.264
112,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/GqI77wMuYZ",Thu Nov 08 11:38:17 +0000 2018,-0.6486,0.0,0.719,0.281
113,Fox News,"Sheriff's deputies speak to potential witnesses as they stand near the scene in Thousand Oaks, Calif., where a gunm… https://t.co/jPE8k9oQHr",Thu Nov 08 11:32:26 +0000 2018,0.0,0.0,1.0,0.0
114,Fox News,13 dead in country music bar including gunman https://t.co/PvITYr54AX https://t.co/UURBIatqte,Thu Nov 08 11:26:46 +0000 2018,-0.6486,0.0,0.677,0.323
115,Fox News,"12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/PvITYr54AX https://t.co/o8Nf8WuJcZ",Thu Nov 08 11:18:08 +0000 2018,-0.6486,0.0,0.719,0.281
116,Fox News,"Breaking News: At least 12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/u6sVxdzHq5",Thu Nov 08 11:13:32 +0000 2018,-0.6486,0.0,0.765,0.235
117,Fox News,.@CarleyShimkus is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/cQ9uxkjUIK,Thu Nov 08 11:12:14 +0000 2018,0.0,0.0,1.0,0.0
118,Fox News,"Authorities deliver an update on the shooting in Thousand Oaks, California. (Courtesy: KABC) https://t.co/BtGxxIfNx5",Thu Nov 08 10:53:33 +0000 2018,0.0,0.0,1.0,0.0
119,Fox News,Pastor Dimas Salaberrios on California shooting: “My immediate thoughts go out to the families. Because what’s happ… https://t.co/iowf5VOL2l,Thu Nov 08 10:36:12 +0000 2018,0.0,0.0,1.0,0.0
120,CNN,Roger Stone isn't ruling out cooperating with special counsel Robert Mueller. https://t.co/1nGLt99ZOz https://t.co/iHEpaOkE22,Sun Jan 27 21:31:04 +0000 2019,0.4019,0.184,0.816,0.0
121,CNN,Cuba has opened its first new church since the revolution 60 years ago. https://t.co/yLE2v51snQ https://t.co/dDwAG8GdL4,Sun Jan 27 21:00:13 +0000 2019,0.0,0.0,1.0,0.0
122,CNN,"Two days after a dam ruptured at a mine in Brazil, killing dozens of people, residents are being evacuated near a s… https://t.co/tJd6Qd8Wvw",Sun Jan 27 20:33:09 +0000 2019,-0.6597,0.0,0.812,0.188
123,CNN,The 2020 Democratic field is the most diverse ever. | Analysis by CNN's Harry Enten https://t.co/2sGCTPcFpc https://t.co/AVIPzf5CQX,Sun Jan 27 20:02:07 +0000 2019,0.0,0.0,1.0,0.0
