,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
269,kon tum,12,VN,1548131640,54,14.36,108.0,75.32,7.16
270,khor,64,RU,1548131641,66,47.88,134.96,10.56,5.37
271,gayny,64,RU,1548131641,84,60.3,54.33,12.36,6.26
272,verkhoyansk,20,RU,1548131641,0,67.55,133.39,-56.54,2.01
273,saryozek,32,KZ,1548131642,87,44.36,77.98,19.83,3.91
274,oranjestad,20,AW,1548129600,78,12.52,-70.03,78.8,17.22
275,mount pleasant,75,US,1548130500,71,33.16,-94.97,50.36,14.99
276,lucapa,24,AO,1548131643,85,-8.42,20.74,70.28,4.03
277,dunedin,0,NZ,1548131644,52,-45.87,170.5,69.06,21.47
278,vangaindrano,92,MG,1548131644,100,-23.35,47.6,75.36,5.26
279,zliv,48,CZ,1548131645,79,49.07,14.37,13.04,4.47
280,mandalgovi,0,MN,1548131645,53,45.76,106.27,24.47,4.59
281,maltahohe,0,NA,1548131645,47,-24.83,16.98,67.94,3.36
282,batagay,8,RU,1548131646,0,67.65,134.64,-61.94,2.91
283,lahij,56,YE,1548131646,79,13.06,44.88,72.17,3.8
284,bonthe,8,SL,1548131647,98,7.53,-12.5,76.4,3.91
285,yerbogachen,0,RU,1548131471,68,61.28,108.01,-1.59,3.69
286,belmonte,36,PT,1548131647,78,40.36,-7.35,27.75,2.68
287,hobyo,0,SO,1548131647,73,5.35,48.53,78.92,18.79
288,mingaora,88,PK,1548131648,94,34.78,72.36,40.49,0.34
289,cheremukhovo,56,RU,1548131648,84,56.23,46.23,5.16,8.05
290,juwana,76,ID,1548131648,99,-6.71,111.15,80.72,10.4
291,constitucion,0,MX,1548131649,65,23.99,-104.67,45.21,5.7
292,san patricio,0,PY,1548131649,89,-26.98,-56.83,66.41,2.13
293,dakar,0,SN,1548129600,77,14.69,-17.45,62.6,13.87
294,umm lajj,44,SA,1548131649,100,25.02,37.27,62.76,2.68
295,iqaluit,40,CA,1548129600,76,63.75,-68.52,-11.21,11.41
296,praia da vitoria,90,PT,1548129600,76,38.73,-27.07,57.2,19.13
297,lasa,20,CY,1548129600,81,34.92,32.53,51.8,6.93
298,coronel,0,MX,1548131650,65,17.95,-92.84,65.24,9.28
299,jizan,56,SA,1548129600,83,16.89,42.56,75.2,7.61
300,egvekinot,20,RU,1548131651,76,66.32,-179.17,-12.57,10.18
301,muros,40,ES,1548129600,93,42.77,-9.06,44.6,3.36
302,usinsk,76,RU,1548131652,72,66.0,57.56,-6.45,3.13
303,lexington,90,US,1548130500,53,38.05,-84.5,21.02,13.87
304,zheleznodorozhnyy,40,RU,1548129600,84,55.75,38.0,5.0,4.47
305,huanren,0,CN,1548131653,25,41.26,125.37,37.07,5.03
306,buraydah,24,SA,1548129600,81,26.33,43.97,50.0,2.24
307,chongwe,0,ZM,1548129600,82,-15.33,28.68,64.4,3.36
308,jaciara,8,BR,1548131654,92,-15.95,-54.98,72.44,2.68
309,anadyr,0,RU,1548129600,75,64.73,177.51,-14.81,4.47
310,hasaki,20,JP,1548129600,39,35.73,140.83,51.8,10.29
311,puerto leguizamo,56,CO,1548131654,100,-0.19,-74.78,71.18,2.57
312,dingle,56,PH,1548131655,72,11.0,122.67,81.35,17.22
313,henties bay,36,NA,1548131655,100,-22.12,14.28,62.9,3.91
314,cap malheureux,75,MU,1548129600,70,-19.98,57.61,84.2,3.36
315,katobu,92,ID,1548131656,100,-4.94,122.53,77.93,12.53
316,chenzhou,0,CN,1548131656,93,25.81,113.03,49.22,4.14
317,channel-port aux basques,92,CA,1548131420,100,47.57,-59.14,30.0,16.33
318,cortez,90,US,1548130800,84,37.35,-108.58,30.02,12.75
319,ushtobe,24,KZ,1548131657,90,45.25,77.98,27.17,4.36
320,halmstad,0,SE,1548129000,100,56.67,12.86,32.0,3.36
321,plouzane,64,FR,1548129600,70,48.38,-4.62,44.6,11.41
322,nurota,24,UZ,1548129600,86,40.56,65.69,26.6,4.7
323,trairi,88,BR,1548131659,100,-3.28,-39.27,80.9,16.78
324,rancho mirage,1,US,1548130500,25,33.76,-116.42,62.06,11.41
325,maunabo,75,PR,1548129360,93,18.01,-65.9,77.0,3.36
326,eyl,100,SO,1548131660,92,7.98,49.82,76.26,14.99
327,chumikan,88,RU,1548131660,60,54.72,135.31,1.34,9.4
328,saint-raymond,0,CA,1548129600,48,46.89,-71.84,-0.41,10.29
329,faya,0,SA,1548129600,87,18.39,42.45,53.6,4.14
330,dawlatabad,8,AF,1548131661,70,36.41,64.91,38.06,3.91
331,isangel,76,VU,1548131661,97,-19.55,169.27,80.76,18.01
332,nyaunglebin,12,MM,1548131662,61,17.95,96.73,85.4,3.69
333,takoradi,0,GH,1548131662,100,4.89,-1.75,79.82,7.61
334,birin,36,SY,1548131662,91,35.01,36.67,34.05,2.68
335,college,1,US,1548129480,81,64.86,-147.8,-11.03,6.38
336,fort smith,1,US,1548130500,64,35.39,-94.42,46.4,6.93
337,omboue,92,GA,1548131663,100,-1.57,9.26,79.41,2.57
338,nosy varika,76,MG,1548131663,96,-20.58,48.53,80.76,10.63
339,wewak,48,PG,1548131663,71,-3.55,143.63,86.61,4.25
340,swan river,24,CA,1548131390,72,52.11,-101.27,-0.11,5.93
341,nikolsk,36,RU,1548131664,59,59.53,45.45,-2.4,5.37
342,port hedland,8,AU,1548129600,56,-20.31,118.58,96.8,16.11
343,ambilobe,92,MG,1548131664,100,-13.19,49.05,72.75,4.25
344,tilichiki,12,RU,1548131665,73,60.47,166.1,-2.72,3.02
345,acapulco,20,MX,1548128400,83,16.86,-99.88,77.0,2.8
346,nioro,20,GM,1548131665,35,13.79,-15.05,60.02,7.49
347,monrovia,75,LR,1548126000,94,6.33,-10.8,75.2,3.91
348,grand gaube,75,MU,1548129600,70,-20.01,57.66,84.2,3.36
349,dalhousie,92,IN,1548131666,86,32.54,75.98,36.8,2.35
350,nauta,36,PE,1548131667,98,-4.51,-73.58,75.14,2.57
351,kavieng,32,PG,1548131667,100,-2.57,150.8,81.98,7.16
352,manakara,92,MG,1548131667,100,-22.14,48.01,79.41,16.78
353,kholodnyy,48,RU,1548131668,55,62.72,147.95,-13.16,2.13
354,quelimane,75,MZ,1548129600,100,-17.88,36.89,71.6,5.82
355,bom jesus,40,BR,1548129600,88,-5.99,-35.58,77.0,3.36
356,thinadhoo,36,MV,1548131669,100,0.53,72.93,81.17,7.94
357,provideniya,40,RU,1548129600,70,64.42,-173.23,-5.81,26.84
358,sept-iles,90,CA,1548129600,54,50.2,-66.38,3.2,17.22
359,katsuura,40,JP,1548129600,40,33.93,134.5,51.8,18.34
360,fort nelson,75,CA,1548129600,78,58.81,-122.69,10.4,2.24
361,paraiso,0,MX,1548131670,65,24.01,-104.61,45.21,5.7
362,hengshui,0,CN,1548131670,41,37.73,115.7,50.12,4.7
363,sungaipenuh,48,ID,1548131671,75,-2.08,101.38,75.36,2.13
364,cap-aux-meules,90,CA,1548126000,73,47.38,-61.86,19.4,11.41
365,sur,0,OM,1548131671,100,22.57,59.53,69.47,1.9
366,kuminskiy,76,RU,1548131672,86,58.67,66.57,12.14,7.72
367,seshcha,0,RU,1548131672,52,53.73,33.34,-4.25,3.02
368,lagunas,68,PE,1548131672,98,-5.23,-75.68,71.76,2.24
369,chuy,0,UY,1548131673,94,-33.69,-53.46,68.57,12.41
370,hinton,8,CA,1548131673,76,53.4,-117.57,11.6,2.24
371,ketchikan,90,US,1548129180,92,55.34,-131.65,39.92,34.45
372,aleppo,0,SY,1548131674,89,36.2,37.17,33.74,4.7
373,la plata,0,AR,1548129600,73,-34.92,-57.95,77.0,5.82
374,radchenko,48,RU,1548131674,81,56.68,36.37,5.88,11.74
375,port-gentil,76,GA,1548131675,100,-0.72,8.78,79.73,5.14
376,husavik,68,CA,1548131675,88,50.56,-96.99,1.65,8.28
377,ust-kuyga,0,RU,1548131675,0,70.0,135.55,-57.12,2.8
378,magdiwang,76,PH,1548131675,98,12.49,122.51,78.96,26.62
379,tarauaca,56,BR,1548131676,98,-8.16,-70.77,71.45,1.9
380,japura,44,ID,1548131676,61,-0.42,102.29,87.29,3.13
381,gamba,20,CN,1548131677,77,28.28,88.52,17.85,3.13
382,camacha,75,PT,1548129600,51,33.08,-16.33,59.0,4.7
383,yar-sale,68,RU,1548131677,78,66.83,70.83,-0.69,13.76
384,kabinda,20,CD,1548131678,94,-6.14,24.49,71.4,9.51
385,kropotkin,80,RU,1548131678,99,45.43,40.58,29.73,10.07
386,arlit,0,NE,1548131678,57,18.74,7.39,44.9,3.13
387,svetlaya,0,RU,1548131678,100,46.54,138.33,20.51,2.57
388,yulara,40,AU,1548129600,12,-25.24,130.99,107.6,11.41
389,broome,36,GB,1548131220,100,52.47,1.45,41.0,13.87
390,ca mau,20,VN,1548131679,84,9.18,105.15,84.95,4.59
391,tongliao,0,CN,1548131680,31,43.61,122.27,36.26,18.45
392,kargil,68,PK,1548131680,84,34.56,76.13,7.1,1.57
393,pombas,12,BR,1548131680,91,-15.9,-54.74,72.62,2.13
394,zanjan,8,IR,1548129600,100,36.67,48.48,12.2,3.13
395,ankang,0,CN,1548131681,41,32.73,108.99,47.87,2.68
396,cervo,20,BR,1548131681,90,-22.19,-46.24,63.93,2.68
397,komsomolskiy,56,RU,1548131681,75,67.55,63.78,-0.42,9.62
398,mount gambier,0,AU,1548129600,27,-37.83,140.78,91.4,13.87
399,amposta,0,ES,1548129600,74,40.71,0.58,33.8,1.12
400,nome,90,US,1548130500,84,30.04,-94.42,57.2,13.87
401,mari-turek,56,RU,1548131682,82,56.79,49.62,3.36,8.28
402,ambon,68,FR,1548129600,100,47.55,-2.56,46.4,4.7
403,quepos,0,CR,1548129600,43,9.43,-84.16,69.8,17.22
404,solnechnyy,12,RU,1548131683,64,50.72,136.64,-0.2,5.37
405,synya,68,RU,1548131683,71,65.37,58.04,-6.23,2.57
406,pringsewu,80,ID,1548131684,76,-5.36,104.98,83.55,4.14
407,betsiamites,1,CA,1548129600,54,48.94,-68.65,5.0,12.75
408,kupang,90,ID,1548129600,83,-10.16,123.6,82.4,3.36
409,ranghulu,8,CN,1548131685,34,46.63,124.88,27.93,16.89
410,coquimbo,90,CL,1548129600,93,-29.95,-71.34,60.8,3.36
411,sajanan,92,TN,1548129600,100,37.06,9.24,51.8,10.29
412,socorro,92,PH,1548131686,100,13.06,121.41,74.01,7.38
413,corrente,56,BR,1548131687,43,-17.45,-44.68,74.55,7.05
414,parys,0,ZA,1548131687,57,-26.9,27.46,71.85,5.59
415,weligama,20,LK,1548131687,86,5.97,80.42,83.6,6.82
416,oranjemund,12,ZA,1548131688,96,-28.55,16.43,62.58,13.65
417,matara,76,PE,1548131688,89,-13.74,-72.9,44.36,0.89
418,batagay-alyta,8,RU,1548131688,0,67.8,130.41,-38.67,2.91
419,shanhetun,24,CN,1548131689,74,44.7,127.2,23.7,11.74
420,kiama,0,AU,1548129600,55,-34.67,150.86,89.6,11.41
421,sooke,1,CA,1548130200,85,48.37,-123.73,41.0,4.7
422,kulhudhuffushi,0,MV,1548131690,100,6.62,73.07,80.9,8.28
423,bonavista,92,CA,1548131690,86,48.65,-53.11,35.72,10.51
424,coihaique,20,CL,1548129600,70,-45.58,-72.07,48.2,8.05
425,ngaoundere,0,CM,1548131691,54,7.32,13.58,57.41,4.36
426,alice springs,0,AU,1548129600,10,-23.7,133.88,105.8,13.87
427,turiacu,92,BR,1548131691,95,-5.01,-63.0,75.32,3.13
428,ayan,88,TR,1548131691,95,40.67,33.6,27.35,2.57
429,port hardy,90,CA,1548129600,75,50.7,-127.42,41.0,13.87
430,pasni,0,PK,1548131692,95,25.26,63.48,66.68,9.06
431,verkhnyaya inta,68,RU,1548131692,64,65.99,60.32,-4.25,2.57
432,mamou,0,GN,1548131693,53,10.37,-12.08,58.13,3.69
433,ambovombe,20,MG,1548131693,72,-25.18,46.09,85.13,18.23
434,pakxan,0,LA,1548131693,53,18.39,103.66,75.18,2.68
435,dondo,90,MZ,1548129600,94,-19.62,34.74,75.2,21.03
436,airai,92,TL,1548131694,99,-8.93,125.41,71.45,1.12
437,avera,1,US,1548130500,52,33.19,-82.53,37.04,6.93
438,saint-louis,90,CH,1548130800,86,47.59,7.56,30.2,2.24
439,bubaque,0,GW,1548131695,100,11.28,-15.83,74.1,15.77
440,kelvington,0,CA,1548131695,68,52.16,-103.52,-5.87,8.16
441,bosanska gradiska,90,BA,1548129600,100,45.14,17.25,30.2,4.7
442,maceio,40,BR,1548129600,88,-9.67,-35.74,73.4,3.02
443,menongue,76,AO,1548131696,98,-14.66,17.68,62.54,3.24
444,nuuk,64,GL,1548129000,85,64.17,-51.74,14.0,4.7
445,otane,0,NZ,1548131697,61,-39.89,176.62,69.78,9.62
446,flinders,0,AU,1548129600,55,-34.58,150.85,89.6,11.41
447,jiaohe,68,CN,1548131697,51,43.72,127.34,27.98,9.4
448,hami,56,CN,1548131698,78,42.84,93.51,23.7,3.91
449,san rafael,0,AR,1548131698,51,-34.61,-68.33,65.55,6.6
450,vostok,44,RU,1548131699,65,46.45,135.83,7.19,2.68
451,glinka,0,RU,1548131699,64,54.64,32.87,-8.52,3.02
452,te anau,0,NZ,1548131699,62,-45.41,167.72,63.35,19.13
453,taltal,0,CL,1548131700,94,-25.41,-70.49,57.77,1.68
454,staunton,1,US,1548130500,55,38.15,-79.07,19.04,3.36
455,santa fe,20,AR,1548131490,77,-31.62,-60.7,76.08,10.4
456,zhangjiakou,0,CN,1548131701,24,40.77,114.88,36.66,8.72
457,abonnema,12,NG,1548131701,93,4.71,6.79,71.81,3.02
458,trapani,40,IT,1548130800,82,38.02,12.54,55.4,25.28
459,wamba,0,CD,1548131702,67,2.14,27.99,73.34,3.58
460,mantua,40,IT,1548130800,74,45.16,10.79,28.4,108.27
461,cabo san lucas,5,MX,1548128400,52,22.89,-109.91,69.8,9.73
462,vilcun,0,CL,1548129600,93,-38.65,-72.23,48.2,4.7
463,padang,40,ID,1548129600,70,-0.92,100.36,84.2,4.7
464,kurmanayevka,68,RU,1548131704,90,52.51,52.07,19.11,6.82
465,birjand,0,IR,1548129600,52,32.86,59.22,19.4,6.93
466,angoche,64,MZ,1548131705,100,-16.23,39.91,79.91,16.78
467,krasnaya gora,90,RU,1548129600,85,53.01,31.6,23.0,11.18
468,rexburg,90,US,1548129360,59,43.82,-111.79,26.06,6.93
469,hambantota,5,LK,1548126600,88,6.12,81.12,78.8,5.82
470,sobolevo,0,RU,1548131706,64,54.43,31.9,-3.84,2.68
471,launceston,0,AU,1548129600,28,-41.43,147.14,86.0,21.92
472,nago,40,IT,1548130800,74,45.88,10.89,28.4,108.27
473,high level,90,CA,1548129600,83,58.52,-117.13,-4.01,2.46
474,sistranda,0,NO,1548129000,85,63.73,8.83,24.8,16.11
475,karatau,36,KZ,1548131709,80,43.18,70.46,29.42,5.03
476,palanga,76,RO,1548131710,92,44.45,25.08,21.14,11.18
477,biak,48,ID,1548131710,87,-0.91,122.88,84.45,4.92
478,benguela,92,AO,1548131710,100,-12.58,13.4,72.93,8.39
479,pangody,48,RU,1548131710,68,65.85,74.49,-1.28,12.3
480,aykhal,56,RU,1548131711,64,65.95,111.51,-15.05,2.8
481,dwarka,90,IN,1548129600,100,28.58,77.04,55.4,6.93
482,charters towers,44,AU,1548131712,58,-20.07,146.27,84.77,13.65
483,kita,20,JP,1548129600,27,35.76,139.74,50.0,11.41
484,baykit,80,RU,1548131712,70,61.68,96.39,-2.9,5.93
485,marsabit,0,KE,1548131713,67,2.34,37.99,77.57,6.38
486,vanimo,48,PG,1548131713,100,-2.67,141.3,83.55,10.29
487,medvezhyegorsk,24,RU,1548131714,72,62.92,34.47,0.62,5.7
488,san cristobal,75,EC,1548129600,100,-0.39,-78.55,57.2,3.36
489,mopipi,0,BW,1548131715,33,-21.2,24.86,69.83,5.7
490,najran,5,SA,1548129600,43,17.54,44.22,50.0,4.14
491,nelson bay,0,AU,1548129600,49,-32.72,152.14,89.6,12.75
492,horadiz,40,AZ,1548129600,100,39.45,47.33,26.6,9.17
493,soyo,92,AO,1548131716,96,-6.13,12.37,76.58,1.9
494,basco,1,US,1548130500,69,40.33,-91.2,19.94,20.8
495,north bend,1,US,1548129360,95,43.41,-124.22,42.08,5.82
496,karaton,75,ID,1548129600,83,-6.34,106.1,80.6,14.99
497,pitangui,76,BR,1548131718,60,-19.68,-44.89,76.98,4.36
498,suriapet,0,IN,1548131718,82,17.15,79.62,76.22,8.72
499,baie-comeau,1,CA,1548129600,54,49.22,-68.15,5.0,12.75
500,castelnaudary,90,FR,1548129600,80,43.32,1.95,35.6,11.41
501,sechura,24,PE,1548131720,87,-5.56,-80.82,73.38,6.71
502,kahului,20,US,1548129360,73,20.89,-156.47,78.08,14.99
503,vestmannaeyjar,80,IS,1548131721,100,63.44,-20.27,34.41,21.59
504,hearst,12,CA,1548131721,65,49.69,-83.67,-3.98,7.61
505,pangnirtung,36,CA,1548131721,40,66.15,-65.72,-26.3,5.93
506,kieta,64,PG,1548131722,97,-6.22,155.63,82.38,2.57
507,milverton,0,GB,1548130800,86,51.02,-3.26,39.2,12.75
508,rajapalaiyam,0,IN,1548131722,50,9.45,77.55,79.46,2.91
509,chelbasskaya,44,RU,1548131723,95,45.98,39.37,25.37,10.74
510,corn island,64,NI,1548131723,96,12.17,-83.04,80.72,21.03
511,sao felix do xingu,32,BR,1548131723,100,-6.64,-51.99,71.31,2.24
512,lorengau,20,PG,1548131723,100,-2.02,147.27,84.0,5.59
513,nabire,12,ID,1548131724,66,-3.36,135.5,83.28,2.68
514,beloha,20,MG,1548131724,59,-25.17,45.06,87.51,17.0
515,robertsport,0,LR,1548132039,100,6.75,-11.37,81.26,9.73
516,mossendjo,68,CG,1548131751,99,-2.95,12.72,71.58,2.35
517,farafangana,92,MG,1548131752,100,-22.82,47.83,80.09,25.72
518,francia,92,HN,1548131752,98,15.83,-85.6,64.88,1.68
519,poum,92,MK,1548131841,98,41.28,20.71,29.91,2.01
520,nyurba,56,RU,1548131753,70,63.29,118.35,-10.19,3.47
521,hannibal,1,US,1548130500,58,39.71,-91.36,24.8,14.99
522,saint simons,1,US,1548130680,94,31.14,-81.39,47.3,9.17
523,taoudenni,0,ML,1548131754,88,22.68,-3.98,43.28,8.28
524,taseyevo,68,RU,1548131754,83,57.22,94.9,26.27,8.72
525,cairns,90,AU,1548129600,66,-16.92,145.77,86.0,18.34
526,esso,48,RU,1548131755,86,55.93,158.7,18.53,3.8
527,kozmodemyansk,20,RU,1548129600,92,56.33,46.55,6.8,8.95
528,obihiro,20,JP,1548129600,42,42.92,143.2,26.6,2.24
529,tessalit,24,ML,1548131755,66,20.2,1.01,36.26,2.68
530,bethel,90,US,1548130260,77,60.79,-161.76,-0.41,10.29
531,karratha,0,AU,1548131757,22,-20.74,116.85,107.81,15.77
532,langxiang,48,CN,1548131757,69,46.95,128.87,16.01,3.91
533,culebra,40,US,1548130500,61,34.68,-105.77,40.28,18.34
534,kirkenaer,90,NO,1548129000,92,60.46,12.06,21.2,1.12
535,shenkursk,76,RU,1548131758,64,62.11,42.91,-8.34,2.91
536,ixtapa,90,MX,1548128640,94,20.71,-105.21,77.0,6.93
537,albury,75,AU,1548130560,73,-36.08,146.92,107.6,26.4
538,xining,0,CN,1548131759,21,36.62,101.77,27.71,3.47
539,smithers,90,CA,1548129600,74,54.78,-127.17,28.4,6.93
